xMin 0.0 xMax 20.0 yMin 0.0 yMax 10.3923048454133 zMin 0.50 zMax 22.0
Particles 3480
id	x-position	y-position	z-position	radius
1	0.5	0.5	0.5	0.5
2	0	1.36602540378444	0.5	0.5
3	0.5	2.23205080756888	0.5	0.5
4	0	3.09807621135332	0.5	0.5
5	0.5	3.96410161513775	0.5	0.5
6	0	4.83012701892219	0.5	0.5
7	0.5	5.69615242270663	0.5	0.5
8	0	6.56217782649107	0.5	0.5
9	0.5	7.42820323027551	0.5	0.5
10	0	8.29422863405995	0.5	0.5
11	0.5	9.16025403784439	0.5	0.5
12	0	10.0262794416288	0.5	0.5
13	1.5	0.5	0.5	0.5
14	1	1.36602540378444	0.5	0.5
15	1.5	2.23205080756888	0.5	0.5
16	1	3.09807621135332	0.5	0.5
17	1.5	3.96410161513775	0.5	0.5
18	1	4.83012701892219	0.5	0.5
19	1.5	5.69615242270663	0.5	0.5
20	1	6.56217782649107	0.5	0.5
21	1.5	7.42820323027551	0.5	0.5
22	1	8.29422863405995	0.5	0.5
23	1.5	9.16025403784439	0.5	0.5
24	1	10.0262794416288	0.5	0.5
25	2.5	0.5	0.5	0.5
26	2	1.36602540378444	0.5	0.5
27	2.5	2.23205080756888	0.5	0.5
28	2	3.09807621135332	0.5	0.5
29	2.5	3.96410161513775	0.5	0.5
30	2	4.83012701892219	0.5	0.5
31	2.5	5.69615242270663	0.5	0.5
32	2	6.56217782649107	0.5	0.5
33	2.5	7.42820323027551	0.5	0.5
34	2	8.29422863405995	0.5	0.5
35	2.5	9.16025403784439	0.5	0.5
36	2	10.0262794416288	0.5	0.5
37	3.5	0.5	0.5	0.5
38	3	1.36602540378444	0.5	0.5
39	3.5	2.23205080756888	0.5	0.5
40	3	3.09807621135332	0.5	0.5
41	3.5	3.96410161513775	0.5	0.5
42	3	4.83012701892219	0.5	0.5
43	3.5	5.69615242270663	0.5	0.5
44	3	6.56217782649107	0.5	0.5
45	3.5	7.42820323027551	0.5	0.5
46	3	8.29422863405995	0.5	0.5
47	3.5	9.16025403784439	0.5	0.5
48	3	10.0262794416288	0.5	0.5
49	4.5	0.5	0.5	0.5
50	4	1.36602540378444	0.5	0.5
51	4.5	2.23205080756888	0.5	0.5
52	4	3.09807621135332	0.5	0.5
53	4.5	3.96410161513775	0.5	0.5
54	4	4.83012701892219	0.5	0.5
55	4.5	5.69615242270663	0.5	0.5
56	4	6.56217782649107	0.5	0.5
57	4.5	7.42820323027551	0.5	0.5
58	4	8.29422863405995	0.5	0.5
59	4.5	9.16025403784439	0.5	0.5
60	4	10.0262794416288	0.5	0.5
61	5.5	0.5	0.5	0.5
62	5	1.36602540378444	0.5	0.5
63	5.5	2.23205080756888	0.5	0.5
64	5	3.09807621135332	0.5	0.5
65	5.5	3.96410161513775	0.5	0.5
66	5	4.83012701892219	0.5	0.5
67	5.5	5.69615242270663	0.5	0.5
68	5	6.56217782649107	0.5	0.5
69	5.5	7.42820323027551	0.5	0.5
70	5	8.29422863405995	0.5	0.5
71	5.5	9.16025403784439	0.5	0.5
72	5	10.0262794416288	0.5	0.5
73	6.5	0.5	0.5	0.5
74	6	1.36602540378444	0.5	0.5
75	6.5	2.23205080756888	0.5	0.5
76	6	3.09807621135332	0.5	0.5
77	6.5	3.96410161513775	0.5	0.5
78	6	4.83012701892219	0.5	0.5
79	6.5	5.69615242270663	0.5	0.5
80	6	6.56217782649107	0.5	0.5
81	6.5	7.42820323027551	0.5	0.5
82	6	8.29422863405995	0.5	0.5
